Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-09 15:04:29,351964.75,2165696.75,1446.86499,0,선박으로부터 60도로 방향 전환 
2022-11-09 15:07:39,351969.9375,2165695.0,1449.63501,0,샘플링 시작 
2022-11-09 15:13:08,351973.6875,2165689.25,1450.020996,0,성공 불가사리 
2022-11-09 15:13:18,351968.0,2165687.75,1450.227051,0,바다나리래요 
2022-11-09 15:15:38,351973.0625,2165694.0,1449.442993,0,샘플링 시작 
2022-11-09 15:17:32,351971.3125,2165695.75,1449.979004,0,성공 불가사리 
2022-11-09 15:20:26,351969.9375,2165696.5,1449.227051,0,샘플링 시작 
2022-11-09 15:30:40,351970.125,2165694.25,1449.792969,0,성공 바다나리 
2022-11-09 15:39:20,351971.375,2165693.25,1449.852051,0,성공 해명 
2022-11-09 15:43:27,351974.34375,2165689.25,1449.817017,0,성공 죽은 산호 
2022-11-09 15:51:13,351976.3125,2165691.5,1449.906982,0,성공 죽은 산호 
2022-11-09 15:54:12,351978.53125,2165692.0,1449.651978,0,샘플링 시작 
