Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-08 21:03:08,358934.8125,2171166.75,1355.578003,0,채집 시작
2022-11-08 21:09:01,358941.875,2171181.75,1355.677002,0,채집 완료 (바다나리 불가사리)
2022-11-08 21:10:18,358933.46875,2171169.0,1355.583984,0,채집 완료 (바다나리 )
2022-11-08 21:32:16,358970.40625,2171132.0,1352.509033,0,TMS 
2022-11-08 21:32:27,358935.0625,2171148.75,1355.791992,0,TMS PC 데이터 링크 아웃
2022-11-08 21:34:00,358970.625,2171131.0,1355.508057,0,시스템 재부팅
2022-11-08 21:39:43,358973.6875,2171132.0,1355.399048,0,시스템 재부팅 완료
2022-11-08 21:40:05,358974.53125,2171131.75,1355.369995,0,채집 시작
2022-11-08 21:56:10,358992.84375,2171128.5,1347.537964,0,TM
2022-11-08 21:56:23,358995.03125,2171127.25,1347.255005,0,TMS Pay in
