Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-07 19:02:59,354996.0,2182075.0,1346.407959,0,Winch Pay out 완료
2022-11-07 19:03:47,354990.21875,2182068.5,1351.177002,0,추가 5m Pay out 완
2022-11-07 19:05:10,355005.71875,2182074.5,1350.327026,0,swim out
2022-11-07 19:08:41,354966.34375,2182064.25,1364.026978,0,a
2022-11-07 19:12:19,354942.875,2182029.5,1366.206055,0,ROV 안정화
2022-11-07 19:14:29,354944.53125,2182033.0,1366.312012,0,채집 시
2022-11-07 19:23:29,354968.25,2181998.25,1367.958984,0,채집 완료 (바다나리)
2022-11-07 19:28:59,354924.125,2182026.75,1366.234009,0,ROV 안정화
2022-11-07 19:33:58,354937.0,2182031.5,1366.284058,0,채집 Point 안착 부유물 제거될때 까지 안정
2022-11-07 19:36:14,354930.0,2182030.75,1366.36499,0,채집 Point 채집 시작
2022-11-07 19:39:17,354924.15625,2182034.25,1366.251953,0,채집 완료 (해면 + 바다나리 + 거미불가사리)
2022-11-07 19:40:53,354924.25,2182031.0,1365.769043,0,채집 Point 이동
2022-11-07 19:42:59,354920.3125,2182027.25,1366.152954,0,채집 Point 안착 ROV 안정
2022-11-07 19:50:29,354921.28125,2182022.0,1366.725952,0,채집 완료 (해면)
