Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-06 22:12:10,365120.25,2190286.75,1275.287964,0, 선박 변경된 포인트 도달
2022-11-06 22:22:16,364999.21875,2190314.0,1330.687012,0,TMS 포인트 도달
2022-11-06 22:22:46,364994.4375,2190306.0,1333.062012,0,Depressor Open
2022-11-06 22:23:53,364994.6875,2190316.0,1331.509033,0,swim out
2022-11-06 22:25:54,364985.75,2190306.5,1332.904053,0,ROV 슬링파로 인한 swim out 실패
2022-11-06 22:28:30,364964.09375,2190299.5,1332.394043,0,Depressor close 후 재오픈
2022-11-06 22:30:04,364973.34375,2190304.75,1332.859009,0,swim out
2022-11-06 22:32:39,364963.28125,2190313.5,1345.371948,0,채집 지면 도
2022-11-06 22:40:58,364928.21875,2190314.5,1346.040039,0,ROV 안정화
2022-11-06 22:53:40,364936.96875,2190306.25,1346.109009,0, ROV안정화 진행
