Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-06 23:00:49,364932.96875,2190303.5,1346.449951,0,채집 진행
2022-11-06 23:01:40,364933.125,2190306.75,1346.293945,0,Manipulation 샘플링 실시
2022-11-06 23:07:05,364936.5625,2190312.5,1346.378052,0,채집 완료 
2022-11-06 23:09:48,364939.65625,2190311.75,1345.937012,0,Point 이동
2022-11-06 23:17:30,364931.5625,2190313.75,1346.02002,0,채집 실시
2022-11-06 23:28:48,364928.1875,2190313.5,1346.327026,0,채집 완료
2022-11-06 23:32:56,364936.5,2190300.25,1346.131958,0,채집 Point 변경
2022-11-06 23:36:19,364933.84375,2190302.0,1345.706055,0,채집 실패 Point 이동
2022-11-06 23:48:07,364970.4375,2190308.25,1345.767944,0,채집 실시
2022-11-06 23:57:26,364975.0625,2190303.75,1345.541016,0,Point 안착
