Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-05 14:02:54,0.0,0.0,0.0,0,ROV Div 시작 
2022-11-05 14:08:55,365515.65625,2190318.0,99.800003,0,ROV Depth 100m / 잠시 대기 
2022-11-05 14:13:08,365509.75,2190318.0,104.693001,0,ROV Depth 300m 까지 payout 
2022-11-05 14:24:03,365509.34375,2190323.75,299.153015,0,ROV Depth 300m / 잠시 대기 
2022-11-05 14:25:47,365508.0625,2190324.25,299.312012,0,보상기 이상 유무 확인 및 라이트, 레이저 이상 유무 체크 / 이상 무 
2022-11-05 14:27:14,365506.34375,2190324.25,298.089996,0,4K 카메라 녹화 프로그램 재부
2022-11-05 14:31:09,365508.875,2190322.25,299.075989,0,ROV Depth 500m까지 Payout
2022-11-05 14:44:20,365506.09375,2190316.25,499.187988,0,ROV Depth 500m / 잠시 대기 
2022-11-05 14:45:32,365507.9375,2190313.5,497.912994,0,ROV 이상 유무 체크 / 이상 무 
2022-11-05 14:46:45,365508.8125,2190310.0,497.944,0,ROV Depth 800m까지 Payout 
