Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-09 13:13:19,351944.09375,2165658.0,1449.561035,0,샘플링 시작
2022-11-09 13:13:19,351944.09375,2165658.0,1449.561035,0,샘플링 시작
2022-11-09 13:20:46,351943.78125,2165645.0,1449.473022,0,실
2022-11-09 13:32:33,351945.84375,2165677.75,1427.073975,0,방위 전환 
2022-11-09 13:33:47,351956.40625,2165691.0,1427.458984,0,방위 120으로 하
2022-11-09 13:33:51,351956.03125,2165694.75,1428.269043,0,강
2022-11-09 13:45:11,351974.40625,2165669.0,1449.698975,0,샘플링 시작 
2022-11-09 13:49:34,351969.25,2165667.25,1450.47998,0,성공 말미잘 
2022-11-09 13:58:46,352022.53125,2165644.25,1450.572998,0,샘플링 시작 
