Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-08 18:02:00,358924.25,2171204.5,1356.323975,0,Suction (퇴적물)
2022-11-08 18:04:34,358926.53125,2171202.5,1356.748047,0,채집 시작
2022-11-08 18:25:29,358921.21875,2171208.0,1356.243042,0,채집 완료 (산)
2022-11-08 18:25:35,358922.6875,2171201.5,1356.078003,0,채집 완료 (산)
2022-11-08 18:31:05,358916.59375,2171209.0,1356.238037,0,채집 시작
2022-11-08 18:39:11,358923.75,2171202.0,1356.613037,0,채집 완료 (불가사리)
2022-11-08 18:41:40,358912.40625,2171204.25,1356.020996,0,채집 시작
2022-11-08 18:46:47,358913.4375,2171213.75,1356.185059,0,채집 완료 (산)
2022-11-08 18:47:31,358912.5625,2171208.0,1356.873047,0,채집 완료 (산호)
