Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-07 01:00:50,364970.75,2190363.0,1348.159058,0,채집 시
2022-11-07 01:05:47,364967.5,2190367.25,1347.970947,0,채집 완료
2022-11-07 01:10:23,364974.5,2190365.0,1347.337036,0,채집 시작 
2022-11-07 01:17:22,364978.0625,2190364.75,1347.285034,0,채집 완료
2022-11-07 01:26:53,364968.8125,2190376.0,1350.348999,0,채집 시작
2022-11-07 01:29:46,364969.46875,2190370.0,1350.858032,0,채집 완료
2022-11-07 01:33:38,364970.25,2190376.25,1349.890015,0,워터 샘플
2022-11-07 01:34:15,364967.1875,2190371.5,1350.276001,0,워터 샘플러 작동
2022-11-07 01:43:43,364946.96875,2190365.75,1332.384033,0,ROV swim in
2022-11-07 01:44:37,364930.625,2190383.25,1333.02002,0,Depressor close
2022-11-07 01:46:49,364947.6875,2190363.75,1334.901978,0,데크 온 진행
