Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-10 23:03:34,348327.4375,2172057.5,1378.187988,0,성공 
2022-11-10 23:07:50,348342.75,2172060.25,1378.937012,0,샘플링 시작 
2022-11-10 23:11:54,348340.8125,2172057.75,1378.243042,0,성공 
2022-11-10 23:16:39,348341.875,2172052.25,1377.985962,0,샘플링 시작 
2022-11-10 23:16:39,348341.875,2172052.25,1377.985962,0,샘플링 시작 
2022-11-10 23:17:52,348341.34375,2172062.5,1378.786011,0,성공 
2022-11-10 23:21:27,348337.25,2172063.25,1377.713989,0,해면 
2022-11-10 23:21:57,348340.71875,2172059.25,1378.749023,0,성공  해면 
2022-11-10 23:23:44,348336.34375,2172053.5,1377.946045,0,케이브류 정리 
2022-11-10 23:41:32,348307.96875,2172066.0,1378.750977,0,샘플링 실패 
2022-11-10 23:41:40,348301.84375,2172062.0,1378.255981,0,선 정리 
2022-11-10 23:45:56,348308.78125,2172051.25,1380.000977,0,샘플링 시작 
2022-11-10 23:52:58,348313.5,2172043.25,1379.415039,0,성공 해면 
2022-11-10 23:58:59,348308.375,2172046.75,1379.291016,0,샘플링 시작 
