Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-09 14:01:17,352025.3125,2165648.75,1450.620972,0,N-POD 재부팅 
2022-11-09 14:05:26,352030.125,2165650.5,1449.807007,0,샘플링 시작 
2022-11-09 14:10:37,352024.40625,2165652.5,1450.660034,0,성공 (불가사리)  
2022-11-09 14:13:58,352029.65625,2165653.25,1450.006958,0,샘플링 시작 
2022-11-09 14:17:40,352027.375,2165648.25,1450.46106,0,성공 (불가사리) 
2022-11-09 14:18:16,352022.40625,2165651.25,1450.660034,0,샘플링 시작 
2022-11-09 14:23:38,352027.84375,2165649.0,1450.292969,0,성공 (바다나리) 
2022-11-09 14:26:02,352031.15625,2165646.0,1449.855957,0,샘플링 시작 
2022-11-09 14:41:09,352026.625,2165651.25,1451.083008,0,성공 (똥 같은거) 
2022-11-09 14:44:39,352024.0625,2165642.75,1450.959961,0,샘플링 시작 
2022-11-09 14:52:09,352027.25,2165645.25,1451.121948,0,성공  
2022-11-09 14:53:26,352027.125,2165642.5,1450.926025,0,워터샘플링 시작 
