Time,Latitude,Longitude,Depth,Altitude,Event
2022-11-13 03:38:21,348613.28125,2170201.5,1393.58606,0,ROV 바
2022-11-13 03:38:30,348604.15625,2170194.75,1393.662964,0,ROV 바닥 
2022-11-13 03:45:05,348602.84375,2170193.75,1394.206055,0,ROV 위치 저장 
2022-11-13 03:45:53,348601.96875,2170198.25,1393.401978,0,위치 저장 중 
2022-11-13 03:46:55,348608.0625,2170195.0,1393.755005,0,위치 저장 중 
2022-11-13 03:47:53,348602.15625,2170195.5,1393.641968,0,위치 저장 중 
2022-11-13 03:49:22,348602.375,2170195.5,1393.182983,0,위지 저장 
2022-11-13 03:50:22,348604.34375,2170193.75,1393.322998,0,위치 저장 
2022-11-13 03:51:14,348604.0625,2170197.5,1393.964966,0,위치 저장 
2022-11-13 03:52:00,348602.625,2170190.5,1394.291992,0,위치 저장 
2022-11-13 03:53:14,348605.5,2170192.5,1394.737061,0,위치 저장 
2022-11-13 03:54:07,348604.34375,2170194.25,1393.842041,0,위치 저장 
2022-11-13 03:54:42,348614.1875,2170189.25,1395.098022,0,위치 저장 
2022-11-13 03:55:06,348605.25,2170195.5,1393.722046,0,선박 전진 시작 
2022-11-13 03:55:11,348603.0,2170193.25,1393.762939,0,0.3노트 
2022-11-13 03:56:13,348604.375,2170196.25,1393.878052,0,위치 저장 
2022-11-13 03:57:04,348605.5,2170195.0,1393.828979,0,박용구, 임효빈, 김평강, 곽우영, 박형석 데크 상 TMS 온데크 지원 시작
2022-11-13 03:57:36,348603.875,2170195.0,1393.354004,0,현 위치 수심 1402 미터 
2022-11-13 03:57:54,348605.1875,2170193.75,1394.109009,0,TMS 수심 23 미터 
2022-11-13 03:57:59,348607.4375,2170195.25,1394.411987,0,21 미터 
2022-11-13 03:58:18,348604.15625,2170197.0,1393.509033,0,김평강 영상 촬영 중 
2022-11-13 03:58:36,348606.03125,2170197.0,1393.112061,0,바다 환경 너울 심
2022-11-13 03:58:54,348603.84375,2170197.75,1392.974976,0,TMS 나 옴 
2022-11-13 03:59:10,348603.90625,2170197.25,1393.270996,0,선박 이동 중지 
2022-11-13 03:59:21,348610.15625,2170196.75,1393.862061,0,TMS에서 테더케이블 나와있음 
2022-11-13 03:59:30,348603.0625,2170195.25,1393.666992,0,케이블 
